Date,Time,Temp (C),Temp (F)
Date,Time,Temp (C),Temp (F)
2025/7/7,0:41:36,27.25,81.05
Date,Time,Temp (C),Temp (F)
2025/7/7,0:41:38,27.25,81.05
2025/7/7,0:41:43,29.50,85.10
2025/7/7,0:41:48,29.50,85.10
2025/7/7,0:41:53,29.00,84.20
2025/7/7,0:41:58,29.00,84.20
2025/7/7,0:42:3,29.25,84.65
2025/7/7,0:42:9,29.00,84.20
2025/7/7,0:42:14,28.75,83.75
2025/7/7,0:42:19,28.75,83.75
2025/7/7,0:42:24,29.00,84.20
2025/7/7,0:42:29,29.75,85.55
2025/7/7,0:42:34,30.50,86.90
2025/7/7,0:42:39,31.00,87.80
2025/7/7,0:42:44,32.25,90.05
2025/7/7,0:42:49,33.00,91.40
2025/7/7,0:42:54,33.25,91.85
2025/7/7,0:42:59,33.50,92.30
Date,Time,Temp (C),Temp (F)
2025/7/10,13:7:55,26.50,79.70
Date,Time,Temp (C),Temp (F)
2025/7/10,13:7:57,26.25,79.25
2025/7/10,13:8:2,26.50,79.70
2025/7/10,13:8:7,25.75,78.35
2025/7/10,13:8:12,25.75,78.35
2025/7/10,13:8:17,25.25,77.45
2025/7/10,13:8:22,25.50,77.90
2025/7/10,13:8:27,25.50,77.90
2025/7/10,13:8:32,25.00,77.00
2025/7/10,13:8:37,25.00,77.00
2025/7/10,13:8:42,23.00,73.40
2025/7/10,13:8:47,22.50,72.50
2025/7/10,13:8:52,22.25,72.05
2025/7/10,13:8:57,22.75,72.95
2025/7/10,13:9:2,23.25,73.85
2025/7/10,13:9:7,23.25,73.85
2025/7/10,13:9:12,23.25,73.85
2025/7/10,13:9:17,23.00,73.40
2025/7/10,13:9:22,22.50,72.50
2025/7/10,13:9:27,22.25,72.05
2025/7/10,13:9:32,23.00,73.40
2025/7/10,13:9:37,23.00,73.40
2025/7/10,13:9:42,23.75,74.75
2025/7/10,13:9:47,23.00,73.40
2025/7/10,13:9:52,22.75,72.95
2025/7/10,13:9:57,23.75,74.75
2025/7/10,13:10:2,24.25,75.65
2025/7/10,13:10:8,24.50,76.10
2025/7/10,13:10:13,24.50,76.10
2025/7/10,13:10:18,25.25,77.45
2025/7/10,13:10:23,26.25,79.25
2025/7/10,13:10:28,27.00,80.60
2025/7/10,13:10:33,28.25,82.85
2025/7/10,13:10:38,28.25,82.85
2025/7/10,13:10:43,29.75,85.55
2025/7/10,13:10:48,31.00,87.80
2025/7/10,13:10:53,31.50,88.70
2025/7/10,13:10:58,32.75,90.95
2025/7/10,13:11:3,34.25,93.65
2025/7/10,13:11:8,35.25,95.45
2025/7/10,13:11:13,36.25,97.25
2025/7/10,13:11:18,38.25,100.85
2025/7/10,13:11:23,39.50,103.10
2025/7/10,13:11:28,41.25,106.25
2025/7/10,13:11:33,42.75,108.95
2025/7/10,13:11:38,44.50,112.10
2025/7/10,13:11:43,45.50,113.90
2025/7/10,13:11:48,47.75,117.95
2025/7/10,13:11:53,49.00,120.20
2025/7/10,13:11:58,50.00,122.00
2025/7/10,13:12:3,51.00,123.80
2025/7/10,13:12:8,53.00,127.40
2025/7/10,13:12:13,54.25,129.65
2025/7/10,13:12:18,55.75,132.35
2025/7/10,13:12:23,57.75,135.95
2025/7/10,13:12:28,60.00,140.00
2025/7/10,13:12:33,60.50,140.90
2025/7/10,13:12:38,61.75,143.15
2025/7/10,13:12:43,63.50,146.30
2025/7/10,13:12:48,65.00,149.00
2025/7/10,13:12:53,66.25,151.25
2025/7/10,13:12:58,67.75,153.95
2025/7/10,13:13:3,69.25,156.65
2025/7/10,13:13:8,70.75,159.35
2025/7/10,13:13:13,73.00,163.40
2025/7/10,13:13:18,74.00,165.20
2025/7/10,13:13:23,76.50,169.70
2025/7/10,13:13:28,77.00,170.60
2025/7/10,13:13:33,79.00,174.20
2025/7/10,13:13:38,81.00,177.80
2025/7/10,13:13:43,83.25,181.85
2025/7/10,13:13:48,84.25,183.65
2025/7/10,13:13:53,85.75,186.35
2025/7/10,13:13:58,87.75,189.95
2025/7/10,13:14:3,89.75,193.55
2025/7/10,13:14:9,91.25,196.25
2025/7/10,13:14:14,91.50,196.70
2025/7/10,13:14:19,93.50,200.30
2025/7/10,13:14:24,95.00,203.00
2025/7/10,13:14:29,97.25,207.05
2025/7/10,13:14:34,98.25,208.85
2025/7/10,13:14:39,100.00,212.00
2025/7/10,13:14:44,102.25,216.05
2025/7/10,13:14:49,103.75,218.75
2025/7/10,13:14:54,105.25,221.45
2025/7/10,13:14:59,107.00,224.60
2025/7/10,13:15:4,108.75,227.75
2025/7/10,13:15:9,110.25,230.45
2025/7/10,13:15:14,112.00,233.60
2025/7/10,13:15:19,113.00,235.40
2025/7/10,13:15:24,114.25,237.65
2025/7/10,13:15:29,116.00,240.80
2025/7/10,13:15:34,117.25,243.05
2025/7/10,13:15:39,119.00,246.20
2025/7/10,13:15:44,121.25,250.25
2025/7/10,13:15:49,122.25,252.05
2025/7/10,13:15:54,125.25,257.45
2025/7/10,13:15:59,125.25,257.45
2025/7/10,13:16:4,127.75,261.95
2025/7/10,13:16:9,128.75,263.75
2025/7/10,13:16:14,130.50,266.90
2025/7/10,13:16:19,131.75,269.15
2025/7/10,13:16:24,132.75,270.95
2025/7/10,13:16:29,134.25,273.65
2025/7/10,13:16:34,135.50,275.90
2025/7/10,13:16:39,136.25,277.25
2025/7/10,13:16:44,138.50,281.30
2025/7/10,13:16:49,139.25,282.65
2025/7/10,13:16:54,140.50,284.90
2025/7/10,13:16:59,140.50,284.90
2025/7/10,13:17:4,141.75,287.15
2025/7/10,13:17:9,142.00,287.60
2025/7/10,13:17:14,143.00,289.40
2025/7/10,13:17:19,143.75,290.75
2025/7/10,13:17:24,144.00,291.20
2025/7/10,13:17:29,144.75,292.55
2025/7/10,13:17:34,146.50,295.70
2025/7/10,13:17:39,146.25,295.25
2025/7/10,13:17:44,147.00,296.60
2025/7/10,13:17:49,147.25,297.05
2025/7/10,13:17:54,147.75,297.95
2025/7/10,13:17:59,148.00,298.40
2025/7/10,13:18:4,148.25,298.85
2025/7/10,13:18:10,149.00,300.20
2025/7/10,13:18:15,148.00,298.40
2025/7/10,13:18:20,149.00,300.20
2025/7/10,13:18:25,149.00,300.20
2025/7/10,13:18:30,148.75,299.75
2025/7/10,13:18:35,148.75,299.75
2025/7/10,13:18:40,149.25,300.65
2025/7/10,13:18:45,150.00,302.00
2025/7/10,13:18:50,149.50,301.10
2025/7/10,13:18:55,149.75,301.55
2025/7/10,13:19:0,150.00,302.00
2025/7/10,13:19:5,149.25,300.65
2025/7/10,13:19:10,150.25,302.45
2025/7/10,13:19:15,149.75,301.55
2025/7/10,13:19:20,149.75,301.55
2025/7/10,13:19:25,150.25,302.45
2025/7/10,13:19:30,150.25,302.45
2025/7/10,13:19:35,149.25,300.65
2025/7/10,13:19:40,149.50,301.10
2025/7/10,13:19:45,150.25,302.45
2025/7/10,13:19:50,149.75,301.55
2025/7/10,13:19:55,149.50,301.10
2025/7/10,13:20:0,149.75,301.55
2025/7/10,13:20:5,148.50,299.30
2025/7/10,13:20:10,148.75,299.75
2025/7/10,13:20:15,149.00,300.20
2025/7/10,13:20:20,148.25,298.85
2025/7/10,13:20:25,147.50,297.50
2025/7/10,13:20:30,148.00,298.40
2025/7/10,13:20:35,148.25,298.85
2025/7/10,13:20:40,147.75,297.95
2025/7/10,13:20:45,146.75,296.15
2025/7/10,13:20:50,147.50,297.50
2025/7/10,13:20:55,142.00,287.60
2025/7/10,13:21:0,138.25,280.85
2025/7/10,13:21:5,134.75,274.55
2025/7/10,13:21:10,133.50,272.30
2025/7/10,13:21:15,127.50,261.50
2025/7/10,13:21:20,126.00,258.80
2025/7/10,13:21:25,125.00,257.00
2025/7/10,13:21:30,124.25,255.65
2025/7/10,13:21:35,124.25,255.65
2025/7/10,13:21:40,124.25,255.65
2025/7/10,13:21:45,123.25,253.85
2025/7/10,13:21:50,124.25,255.65
2025/7/10,13:21:55,124.75,256.55
2025/7/10,13:22:0,123.75,254.75
2025/7/10,13:22:5,124.25,255.65
2025/7/10,13:22:11,124.25,255.65
2025/7/10,13:22:16,125.25,257.45
2025/7/10,13:22:21,126.50,259.70
2025/7/10,13:22:26,127.50,261.50
2025/7/10,13:22:31,127.50,261.50
2025/7/10,13:22:36,129.00,264.20
2025/7/10,13:22:41,129.75,265.55
2025/7/10,13:22:46,130.50,266.90
2025/7/10,13:22:51,131.50,268.70
2025/7/10,13:22:56,132.25,270.05
2025/7/10,13:23:1,132.50,270.50
2025/7/10,13:23:6,133.50,272.30
2025/7/10,13:23:11,134.75,274.55
2025/7/10,13:23:16,135.25,275.45
2025/7/10,13:23:21,136.00,276.80
2025/7/10,13:23:26,137.25,279.05
2025/7/10,13:23:31,137.75,279.95
2025/7/10,13:23:36,139.50,283.10
2025/7/10,13:23:41,140.25,284.45
2025/7/10,13:23:46,141.25,286.25
2025/7/10,13:23:51,142.50,288.50
2025/7/10,13:23:56,144.00,291.20
2025/7/10,13:24:1,144.50,292.10
2025/7/10,13:24:6,145.25,293.45
2025/7/10,13:24:11,145.00,293.00
2025/7/10,13:24:16,146.50,295.70
2025/7/10,13:24:21,146.25,295.25
2025/7/10,13:24:26,146.75,296.15
2025/7/10,13:24:31,147.50,297.50
2025/7/10,13:24:36,148.75,299.75
2025/7/10,13:24:41,149.50,301.10
2025/7/10,13:24:46,149.50,301.10
2025/7/10,13:24:51,150.50,302.90
2025/7/10,13:24:56,150.50,302.90
2025/7/10,13:25:1,151.25,304.25
2025/7/10,13:25:6,151.25,304.25
2025/7/10,13:25:11,151.50,304.70
2025/7/10,13:25:16,152.00,305.60
2025/7/10,13:25:21,151.75,305.15
2025/7/10,13:25:26,152.75,306.95
2025/7/10,13:25:31,152.25,306.05
2025/7/10,13:25:36,153.00,307.40
2025/7/10,13:25:41,152.00,305.60
2025/7/10,13:25:46,153.50,308.30
2025/7/10,13:25:51,153.75,308.75
2025/7/10,13:25:56,153.75,308.75
2025/7/10,13:26:1,153.75,308.75
2025/7/10,13:26:6,153.50,308.30
2025/7/10,13:26:12,153.00,307.40
2025/7/10,13:26:17,153.50,308.30
2025/7/10,13:26:22,153.50,308.30
2025/7/10,13:26:27,152.75,306.95
2025/7/10,13:26:32,153.25,307.85
2025/7/10,13:26:37,153.75,308.75
2025/7/10,13:26:42,153.75,308.75
2025/7/10,13:26:47,153.75,308.75
2025/7/10,13:26:52,154.00,309.20
2025/7/10,13:26:57,153.50,308.30
2025/7/10,13:27:2,153.50,308.30
2025/7/10,13:27:7,153.75,308.75
2025/7/10,13:27:12,153.50,308.30
2025/7/10,13:27:17,153.25,307.85
2025/7/10,13:27:22,153.75,308.75
2025/7/10,13:27:27,152.50,306.50
2025/7/10,13:27:32,153.00,307.40
2025/7/10,13:27:37,152.50,306.50
2025/7/10,13:27:42,154.25,309.65
2025/7/10,13:27:47,153.50,308.30
2025/7/10,13:27:52,148.00,298.40
2025/7/10,13:27:57,145.75,294.35
2025/7/10,13:28:2,140.75,285.35
2025/7/10,13:28:7,138.00,280.40
2025/7/10,13:28:12,131.00,267.80
2025/7/10,13:28:17,128.75,263.75
2025/7/10,13:28:22,127.75,261.95
2025/7/10,13:28:27,126.75,260.15
2025/7/10,13:28:32,126.00,258.80
2025/7/10,13:28:37,126.00,258.80
2025/7/10,13:28:42,127.25,261.05
2025/7/10,13:28:47,126.50,259.70
2025/7/10,13:28:52,126.50,259.70
2025/7/10,13:28:57,127.00,260.60
2025/7/10,13:29:2,127.25,261.05
2025/7/10,13:29:7,127.50,261.50
2025/7/10,13:29:12,127.25,261.05
2025/7/10,13:29:17,128.00,262.40
2025/7/10,13:29:22,128.25,262.85
2025/7/10,13:29:27,129.25,264.65
2025/7/10,13:29:32,129.50,265.10
2025/7/10,13:29:37,131.00,267.80
2025/7/10,13:29:42,131.00,267.80
2025/7/10,13:29:47,132.25,270.05
2025/7/10,13:29:52,133.00,271.40
2025/7/10,13:29:57,133.50,272.30
2025/7/10,13:30:2,134.75,274.55
2025/7/10,13:30:7,135.75,276.35
2025/7/10,13:30:13,136.25,277.25
2025/7/10,13:30:18,137.00,278.60
2025/7/10,13:30:23,138.50,281.30
2025/7/10,13:30:28,139.25,282.65
2025/7/10,13:30:33,140.50,284.90
2025/7/10,13:30:38,141.25,286.25
2025/7/10,13:30:43,142.25,288.05
2025/7/10,13:30:48,142.75,288.95
2025/7/10,13:30:53,143.75,290.75
2025/7/10,13:30:58,144.50,292.10
2025/7/10,13:31:3,146.25,295.25
2025/7/10,13:31:8,146.50,295.70
2025/7/10,13:31:13,147.25,297.05
2025/7/10,13:31:18,147.25,297.05
2025/7/10,13:31:23,148.50,299.30
2025/7/10,13:31:28,149.25,300.65
2025/7/10,13:31:33,149.00,300.20
2025/7/10,13:31:38,150.00,302.00
2025/7/10,13:31:43,150.25,302.45
2025/7/10,13:31:48,150.25,302.45
2025/7/10,13:31:53,151.50,304.70
2025/7/10,13:31:58,151.50,304.70
2025/7/10,13:32:3,151.75,305.15
2025/7/10,13:32:8,152.25,306.05
2025/7/10,13:32:13,151.75,305.15
2025/7/10,13:32:18,151.00,303.80
2025/7/10,13:32:23,152.50,306.50
2025/7/10,13:32:28,152.00,305.60
2025/7/10,13:32:33,151.50,304.70
2025/7/10,13:32:38,152.00,305.60
2025/7/10,13:32:43,152.25,306.05
2025/7/10,13:32:48,153.50,308.30
2025/7/10,13:32:53,153.50,308.30
2025/7/10,13:32:58,153.25,307.85
2025/7/10,13:33:3,153.50,308.30
2025/7/10,13:33:8,153.25,307.85
2025/7/10,13:33:13,152.75,306.95
2025/7/10,13:33:18,152.50,306.50
2025/7/10,13:33:23,152.50,306.50
2025/7/10,13:33:28,152.75,306.95
2025/7/10,13:33:33,152.75,306.95
2025/7/10,13:33:38,153.75,308.75
2025/7/10,13:33:43,153.75,308.75
2025/7/10,13:33:48,153.75,308.75
2025/7/10,13:33:53,153.75,308.75
2025/7/10,13:33:58,153.25,307.85
2025/7/10,13:34:3,153.75,308.75
2025/7/10,13:34:8,153.50,308.30
2025/7/10,13:34:14,153.50,308.30
2025/7/10,13:34:19,152.50,306.50
2025/7/10,13:34:24,152.25,306.05
2025/7/10,13:34:29,152.50,306.50
2025/7/10,13:34:34,152.50,306.50
2025/7/10,13:34:39,152.75,306.95
2025/7/10,13:34:44,152.25,306.05
2025/7/10,13:34:49,152.50,306.50
2025/7/10,13:34:54,152.25,306.05
2025/7/10,13:34:59,152.50,306.50
2025/7/10,13:35:4,152.00,305.60
2025/7/10,13:35:9,152.50,306.50
2025/7/10,13:35:14,152.25,306.05
2025/7/10,13:35:19,152.25,306.05
2025/7/10,13:35:24,152.25,306.05
2025/7/10,13:35:29,151.75,305.15
2025/7/10,13:35:34,152.00,305.60
2025/7/10,13:35:39,151.75,305.15
2025/7/10,13:35:44,151.75,305.15
2025/7/10,13:35:49,151.25,304.25
2025/7/10,13:35:54,151.50,304.70
2025/7/10,13:35:59,149.50,301.10
2025/7/10,13:36:4,149.50,301.10
2025/7/10,13:36:9,149.50,301.10
2025/7/10,13:36:14,149.50,301.10
2025/7/10,13:36:19,149.00,300.20
2025/7/10,13:36:24,149.25,300.65
2025/7/10,13:36:29,148.50,299.30
2025/7/10,13:36:34,148.50,299.30
2025/7/10,13:36:39,148.50,299.30
2025/7/10,13:36:44,148.25,298.85
2025/7/10,13:36:49,147.75,297.95
2025/7/10,13:36:54,147.75,297.95
2025/7/10,13:36:59,148.00,298.40
2025/7/10,13:37:4,147.25,297.05
2025/7/10,13:37:9,147.25,297.05
2025/7/10,13:37:14,147.25,297.05
2025/7/10,13:37:19,147.25,297.05
2025/7/10,13:37:24,147.00,296.60
2025/7/10,13:37:29,146.25,295.25
2025/7/10,13:37:34,146.50,295.70
2025/7/10,13:37:39,146.25,295.25
2025/7/10,13:37:44,145.75,294.35
2025/7/10,13:37:49,145.50,293.90
2025/7/10,13:37:54,145.50,293.90
2025/7/10,13:37:59,144.75,292.55
2025/7/10,13:38:4,145.50,293.90
2025/7/10,13:38:9,145.25,293.45
Date,Time,Temp (C),Temp (F)
2025/7/10,13:38:15,143.00,289.40
2025/7/10,13:38:20,147.50,297.50
2025/7/10,13:38:25,147.25,297.05
2025/7/10,13:38:30,146.50,295.70
2025/7/10,13:38:35,147.00,296.60
2025/7/10,13:38:40,146.75,296.15
2025/7/10,13:38:45,146.25,295.25
2025/7/10,13:38:50,146.25,295.25
2025/7/10,13:38:55,145.50,293.90
2025/7/10,13:39:0,146.00,294.80
2025/7/10,13:39:5,145.50,293.90
2025/7/10,13:39:10,145.75,294.35
2025/7/10,13:39:15,145.75,294.35
2025/7/10,13:39:20,145.50,293.90
2025/7/10,13:39:25,145.00,293.00
2025/7/10,13:39:30,144.75,292.55
2025/7/10,13:39:35,144.50,292.10
2025/7/10,13:39:40,144.50,292.10
2025/7/10,13:39:45,144.50,292.10
2025/7/10,13:39:50,144.25,291.65
2025/7/10,13:39:55,144.00,291.20
2025/7/10,13:40:0,143.50,290.30
2025/7/10,13:40:5,143.50,290.30
2025/7/10,13:40:10,143.25,289.85
2025/7/10,13:40:15,143.25,289.85
2025/7/10,13:40:20,143.00,289.40
2025/7/10,13:40:25,143.00,289.40
2025/7/10,13:40:30,142.75,288.95
2025/7/10,13:40:35,142.50,288.50
2025/7/10,13:40:40,142.50,288.50
2025/7/10,13:40:45,142.00,287.60
2025/7/10,13:40:50,141.50,286.70
2025/7/10,13:40:55,141.25,286.25
2025/7/10,13:41:0,141.75,287.15
2025/7/10,13:41:5,141.00,285.80
2025/7/10,13:41:10,140.75,285.35
2025/7/10,13:41:15,141.00,285.80
2025/7/10,13:41:20,138.50,281.30
2025/7/10,13:41:25,138.00,280.40
2025/7/10,13:41:30,138.50,281.30
2025/7/10,13:41:36,138.00,280.40
2025/7/10,13:41:41,137.50,279.50
2025/7/10,13:41:46,137.25,279.05
2025/7/10,13:41:51,136.75,278.15
2025/7/10,13:41:56,137.50,279.50
2025/7/10,13:42:1,139.00,282.20
Date,Time,Temp (C),Temp (F)
2025/7/10,13:46:19,58.25,136.85
Date,Time,Temp (C),Temp (F)
2025/7/10,13:46:22,57.50,135.50
2025/7/10,13:46:27,57.00,134.60
2025/7/10,13:46:32,55.75,132.35
2025/7/10,13:46:37,55.25,131.45
2025/7/10,13:46:42,54.00,129.20
2025/7/10,13:46:47,52.75,126.95
2025/7/10,13:46:52,53.00,127.40
2025/7/10,13:46:57,52.25,126.05
2025/7/10,13:47:2,51.50,124.70
2025/7/10,13:47:7,50.50,122.90
2025/7/10,13:47:12,49.50,121.10
2025/7/10,13:47:17,49.25,120.65
2025/7/10,13:47:22,48.75,119.75
2025/7/10,13:47:27,47.75,117.95
2025/7/10,13:47:32,47.25,117.05
2025/7/10,13:47:37,46.75,116.15
2025/7/10,13:47:42,45.50,113.90
2025/7/10,13:47:47,44.75,112.55
2025/7/10,13:47:52,44.75,112.55
2025/7/10,13:47:57,44.75,112.55
2025/7/10,13:48:2,44.25,111.65
2025/7/10,13:48:7,43.50,110.30
2025/7/10,13:48:12,43.00,109.40
2025/7/10,13:48:17,42.75,108.95
2025/7/10,13:48:22,42.25,108.05
2025/7/10,13:48:27,42.25,108.05
2025/7/10,13:48:32,42.00,107.60
2025/7/10,13:48:37,41.75,107.15
2025/7/10,13:48:42,41.00,105.80
Date,Time,Temp (C),Temp (F)
2025/7/10,13:48:47,39.50,103.10
2025/7/10,13:48:52,40.00,104.00
2025/7/10,13:48:57,40.00,104.00
2025/7/10,13:49:2,39.75,103.55
2025/7/10,13:49:7,39.50,103.10
2025/7/10,13:49:12,39.25,102.65
2025/7/10,13:49:17,39.00,102.20
2025/7/10,13:49:22,38.50,101.30
2025/7/10,13:49:27,38.00,100.40
2025/7/10,13:49:32,37.75,99.95
2025/7/10,13:49:37,37.25,99.05
2025/7/10,13:49:42,37.25,99.05
2025/7/10,13:49:47,37.00,98.60
2025/7/10,13:49:52,36.25,97.25
2025/7/10,13:49:57,36.25,97.25
2025/7/10,13:50:2,36.25,97.25
2025/7/10,13:50:7,36.00,96.80
2025/7/10,13:50:12,36.00,96.80
2025/7/10,13:50:17,35.75,96.35
2025/7/10,13:50:22,35.50,95.90
2025/7/10,13:50:27,34.75,94.55
2025/7/10,13:50:32,35.00,95.00
2025/7/10,13:50:37,34.50,94.10
2025/7/10,13:50:42,34.50,94.10
2025/7/10,13:50:47,34.25,93.65
2025/7/10,13:50:52,33.75,92.75
2025/7/10,13:50:57,34.00,93.20
2025/7/10,13:51:2,33.25,91.85
2025/7/10,13:51:7,32.75,90.95
2025/7/10,13:51:12,32.50,90.50
2025/7/10,13:51:17,32.25,90.05
2025/7/10,13:51:22,32.50,90.50
2025/7/10,13:51:27,32.50,90.50
2025/7/10,13:51:32,32.00,89.60
2025/7/10,13:51:37,32.25,90.05
2025/7/10,13:51:42,32.00,89.60
2025/7/10,13:51:47,32.00,89.60
2025/7/10,13:51:52,31.75,89.15
2025/7/10,13:51:57,31.50,88.70
2025/7/10,13:52:3,31.50,88.70
2025/7/10,13:52:8,31.00,87.80
2025/7/10,13:52:13,31.25,88.25
2025/7/10,13:52:18,31.50,88.70
2025/7/10,13:52:23,31.00,87.80
2025/7/10,13:52:28,30.50,86.90
2025/7/10,13:52:33,30.50,86.90
2025/7/10,13:52:38,31.00,87.80
2025/7/10,13:52:43,30.75,87.35
2025/7/10,13:52:48,31.00,87.80
2025/7/10,13:52:53,31.00,87.80
2025/7/10,13:52:58,30.75,87.35
2025/7/10,13:53:3,30.50,86.90
2025/7/10,13:53:8,30.25,86.45
2025/7/10,13:53:13,30.00,86.00
2025/7/10,13:53:18,29.75,85.55
2025/7/10,13:53:23,29.75,85.55
2025/7/10,13:53:28,29.50,85.10
2025/7/10,13:53:33,29.00,84.20
2025/7/10,13:53:38,29.50,85.10
Date,Time,Temp (C),Temp (F)
2025/7/10,13:53:40,28.25,82.85
2025/7/10,13:53:45,28.75,83.75
2025/7/10,13:53:50,29.50,85.10
2025/7/10,13:53:55,29.25,84.65
2025/7/10,13:54:0,29.25,84.65
2025/7/10,13:54:5,29.25,84.65
2025/7/10,13:54:10,29.25,84.65
2025/7/10,13:54:15,28.75,83.75
2025/7/10,13:54:20,28.75,83.75
2025/7/10,13:54:25,28.50,83.30
2025/7/10,13:54:30,28.75,83.75
2025/7/10,13:54:35,28.75,83.75
2025/7/10,13:54:40,28.50,83.30
2025/7/10,13:54:45,29.00,84.20
2025/7/10,13:54:50,28.50,83.30
2025/7/10,13:54:56,28.50,83.30
2025/7/10,13:55:1,28.50,83.30
2025/7/10,13:55:6,28.75,83.75
2025/7/10,13:55:11,29.00,84.20
2025/7/10,13:55:16,28.50,83.30
2025/7/10,13:55:21,29.00,84.20
2025/7/10,13:55:26,28.25,82.85
2025/7/10,13:55:31,28.75,83.75
2025/7/10,13:55:36,28.25,82.85
2025/7/10,13:55:41,28.75,83.75
2025/7/10,13:55:46,28.50,83.30
2025/7/10,13:55:51,28.00,82.40
2025/7/10,13:55:56,29.25,84.65
2025/7/10,13:56:1,28.00,82.40
2025/7/10,13:56:6,28.75,83.75
2025/7/10,13:56:11,28.25,82.85
2025/7/10,13:56:16,27.75,81.95
2025/7/10,13:56:21,28.25,82.85
2025/7/10,13:56:26,28.25,82.85
2025/7/10,13:56:31,28.75,83.75
2025/7/10,13:56:36,30.00,86.00
2025/7/10,13:56:41,31.50,88.70
2025/7/10,13:56:46,32.25,90.05
2025/7/10,13:56:51,32.50,90.50
Date,Time,Temp (C),Temp (F)
2025/7/10,14:15:42,26.50,79.70
2025/7/10,14:15:47,26.75,80.15
2025/7/10,14:15:52,26.50,79.70
2025/7/10,14:15:57,26.75,80.15
2025/7/10,14:16:2,26.50,79.70
2025/7/10,14:16:7,26.50,79.70
2025/7/10,14:16:12,26.50,79.70
Date,Time,Temp (C),Temp (F)
2025/7/10,14:20:39,29.25,84.65
Date,Time,Temp (C),Temp (F)
2025/7/10,14:20:42,28.00,82.40
